	BR	PT
coartar/coarctar	coartar	coarctar
coartativo/coarctativo	coarctativo	coartativo
coartativo/coarctativo	coartativo	coartativo
cofator/cofactor	cofator	cofator
coleta/colecta	coleta	coleta
coletânea/colectânea	coletânea	coletânea
coletâneo/colectâneo	coletâneo	coletâneo
coletar/colectar	coletar	coletar
coletário/colectário	coletário	coletário
coletável/colectável	coletável	coletável
coletício/colectício	coletício	coletício
coletivamente/colectivamente	coletivamente	coletivamente
coletividade/colectividade	coletividade	coletividade
coletivismo/colectivismo	coletivismo	coletivismo
coletivista/colectivista	coletivista	coletivista
coletivístico/colectivístico	coletivístico	coletivístico
coletivização/colectivização	coletivização	coletivização
coletivizar/colectivizar	coletivizar	coletivizar
coletivo/colectivo	coletivo	coletivo
coletor/colector	coletor	coletor
coletora/colectora	coletora	coletora
coletoria/colectoria	coletoria	coletoria
colopético/colopéctico	colopéctico	colopético
colopético/colopéctico	colopético	colopético
conjetânea/conjectânea	conjectânea	conjetânea
conjetânea/conjectânea	conjetânea	conjetânea
conjetura/conjectura	conjectura	conjetura
conjetura/conjectura	conjetura	conjetura
conjeturabilidade/conjecturabilidade	conjecturabilidade	conjeturabilidade
conjeturabilidade/conjecturabilidade	conjeturabilidade	conjeturabilidade
conjeturador/conjecturador	conjecturador	conjeturador
conjeturador/conjecturador	conjeturador	conjeturador
conjetural/conjectural	conjectural	conjetural
conjetural/conjectural	conjetural	conjetural
conjeturalmente/conjecturalmente	conjecturalmente	conjeturalmente
conjeturalmente/conjecturalmente	conjeturalmente	conjeturalmente
conjeturante/conjecturante	conjecturante	conjeturante
conjeturante/conjecturante	conjeturante	conjeturante
conjeturar/conjecturar	conjecturar	conjeturar
conjeturar/conjecturar	conjeturar	conjeturar
conjeturável/conjecturável	conjecturável	conjeturável
conjeturável/conjecturável	conjeturável	conjeturável
conjeturista/conjecturista	conjecturista	conjeturista
conjeturista/conjecturista	conjeturista	conjeturista
contrafator/contrafactor	contrafator	contrafator
convetor/convector	convector	convetor
correspetivo/correspectivo	correspectivo	correspetivo
cristalelétrico/cristaleléctrico	cristalelétrico	cristalelétrico
defletográfico/deflectográfico	deflectográfico	defletográfico
defletográfico/deflectográfico	defletográfico	defletográfico
defletógrafo/deflectógrafo	deflectógrafo	defletógrafo
defletógrafo/deflectógrafo	defletógrafo	deflectógrafo
defletométrico/deflectométrico	deflectométrico	defletométrico
defletométrico/deflectométrico	defletométrico	deflectométrico
dejeção/dejecção	dejeção	dejeção
dejetar/dejectar	dejetar	dejetar
dejeto/dejecto	dejeto	dejeto
dejetório/dejectório	dejetório	dejetório
desafetação/desafectação	desafetação	desafetaçãi
desafetadamente/desafectadamente	desafetadamente	desafetadamente
desafetado/desafectado	desafetado	desafetado
desafetar/desafectar	desafetar	desafetar
desafeto/desafecto	desafeto	desafeto
deseletrizar/deselectrizar	deseletrizar	deseletrizar
deseletrizável/deselectrizável	deseletrizável	deseletrizável
desinfeção/desinfecção	desinfecção	desinfeção
desinfecionar/desinfeccionar	desinfeccionar	desinfecionar
desinfetador/desinfectador	desinfetador	desinfetador
desinfetante/desinfectante	desinfetante	desinfetante
desinfetar/desinfectar	desinfetar	desinfetar
desinfetável/desinfectável	desinfetável	desinfetável
desinfetório/desinfectório	desinfetório	desinfetório
detetabilidade/detectabilidade	detectabilidade	detetabilidade
detetar/detectar	detectar	detetar
detetável/detectável	detectável	detetável
detetiva/detectiva	detetiva	detetiva
detetive/detective	detetive	detetive
detetor/detector	detector	detetor
dialetal/dialectal	dialetal	dialetal
dialetalmente/dialectalmente	dialetalmente	dialetalmente
dialética/dialéctica	dialética	dialética
dialeticamente/dialecticamente	dialeticamente	dialeticamente
dialético/dialéctico	dialético	dialético
dialetismo/dialectismo	dialetismo	dialetismo
dialetista/dialectista	dialetista	dialetista
dialetização/dialectização	dialetização	dialetização
dialetizar/dialectizar	dialetizar	dialetizar
dialeto/dialecto	dialeto	dialeto
dialetologia/dialectologia	dialetologia	dialetologia
dialetológico/dialectológico	dialetológico	dialetológico
dialetologista/dialectologista	dialetologista	dialetologista
dialetólogo/dialectólogo	dialetólogo	dialetólogo
dicatalético/dicataléctico	dicataléctico	dicatalético
dicatalético/dicataléctico	dicatalético	dicatalético
dielétrico/dieléctrico	dielétrico	dielétrico
dinamoelétrico/dinamoeléctrico	dinamoelétrico	dinamodielétrico
dislético/disléctico	disléctico	dislético
dislético/disléctico	dislético	dislético
disorético/disoréctico	disoréctico	disorético
disorético/disoréctico	disorético	disorético
distático/distáctico	distáctico	distático
distático/distáctico	distático	distático
distrátil/distráctil	distrátil	distrátil
distrativo/distractivo	distrativo	distrativo
ecfrático/ecfráctico	ecfrático	ecfrático
efetivador/efectivador	efetivador	efetivador
efração/efracção	efração	efração
efratura/efractura	efratura	efratura
ejeção/ejecção	ejeção	ejeção
ejetar/ejectar	ejetar	ejetar
ejetável/ejectável	ejetável	ejetável
ejetólito/ejectólito	ejetólito	ejetólito
ejetor/ejector	ejetor	ejetor
eletracústica/electracústica	eletracústica	eletracústica
eletrão/electrão	eletrão	eletrão
eletrão-volt/electrão-volt	eletrão-volt	 eletrão-volt
eletrargol/electrargol	electrargol	eletrargol
eletrargol/electrargol	eletrargol	eletrargol
eletrencefalografia/electrencefalografia	eletrencefalografia	eletrencefalografia
eletrencefalográfico/electrencefalográfico	eletrencefalográfico	eletrencefalográfico
eletrencefalograma/electrencefalograma	eletrencefalograma	eletrencefalograma
eletrete/electrete	eletrete	eletrete
eletrexecução/electrexecução	eletrexecução	eletrexecução
eletricamente/electricamente	eletricamente	eletricamente
elétrico/eléctrico	elétrico	elétrico
eletrificação/electrificação	eletrificação	eletrificação
eletrificador/electrificador	eletrificador	eletrificador
eletrificar/electrificar	eletrificar	eletrificar
eletrificável/electrificável	eletrificável	eletrificável
eletríman/electríman	eletroimã	eletríman
elétrino/eléctrino	elétrino	elétrino
eletrização/electrização	eletrização	eletrização
eletrizador/electrizador	eletrizador	eletrizador
eletrizante/electrizante	eletrizante	eletrizante
eletrizar/electrizar	eletrizar	eletrizar
eletrizável/electrizável	eletrizável	eletrizável
eletroacústico/electroacústico	eletroacústico	eletroacústico
eletrobalística/electrobalística	eletrobalística	eletrobalística
eletrobiologia/electrobiologia	eletrobiologia	eletrobiologia
