Ortografia Antiga	Ortografia Nova
arquiinimigo	arqui-inimigo
arquiirmandade	arqui-irmandade
arréico	arreico
arrotéia	arroteia
arroz-de-cuxá	arroz de cuxá
arruda-dos-muros	arruda dos muros
árvore-da-vida	árvore da vida
asbestóide	asbestoide
asplenióide	asplenioide
assembléia	assembleia
assembléia-do-diabo	assembleia-do-diabo
assembléia-geral	assembleia-geral
astartéia	astarteia
asteróide	asteroide
astidaméia	astidameia
astragalóide	astragaloide
astrapéia	astrapeia
astréia	astreia
astróide	astroide
ataléia	ataleia
atéia	ateia
atlóide	atloide
atrôo	atroo
auto-abastecer	autoabastecer
auto-acusação	autoacusação
auto-adesivo	autoadesivo
auto-administração	autoadministração
auto-administrar	autoadministrar
auto-administrável	autoadministrável
auto-admiração	autoadmiração
auto-ajuda	autoajuda
auto-análise	autoanálise
auto-aplicável	autoaplicável
auto-avaliação	autoavaliação
auto-de-fé	auto de fé
auto-educação	autoeducação
auto-educativo	autoeducativo
auto-elogio	autoelogio
auto-emprego	autoemprego
auto-endireitável	autoendireitável
auto-escada	autoescada
auto-escola	autoescola
auto-estima	autoestima
auto-estrada	autoestrada
auto-excitação	autoexcitação
auto-excitar	autoexcitar
auto-excluir	autoexcluir
auto-executável	autoexecutável
auto-imagem	autoimagem
auto-imposição	autoimposição
auto-imposto	autoimposto
auto-imune	autoimune
auto-imunidade	autoimunidade
auto-imunização	autoimunização
auto-inculpação	autoinculpação
auto-indução	autoindução
auto-indulgência	autoindulgência
auto-indulgente	autoindulgente
auto-intitulado	autointitulado
auto-intoxicação	autointoxicação
auto-rádio	autorrádio
auto-radiografia	autorradiografia
auto-radiográfico	autorradiográfico
auto-referencial	autorreferencial
auto-reflexão	autorreflexão
auto-regulação	autorregulação
auto-regulador	autorregulador
auto-retrato	autorretrato
auto-satisfação	autossatisfação
auto-serviço	autosserviço
auto-suficiência	autossuficiência
auto-suficiente	autossuficiente
auto-sugestão	autossugestão
auto-sugestionar	autossugestionar
auto-sugestionável	autossugestionável
auto-suspender	autossuspender
auto-suspenso	autossuspenso
auto-sustentável	autossustentável
axifóide	axifoide
axóide	axoide
azeite-de-cheiro	azeite de cheiro
azeite-de-pau	azeite de pau
azóico	azoico
azotorréico	azotorreico
azulóio	azuloio
baba-de-camelo	baba de camelo
baba-de-moça	baba de moça
bairro-de-lata	bairro de lata
baiúca	baiuca
balanóide	balanoide
balanorréico	balanorreico
balão-de-ensaio	balão de ensaio
balsaméia	balsameia
bálsamo-do-canadá	bálsamo do Canadá
bálsamo-tranqüilo	bálsamo-tranquilo
balsamóide	balsamoide
banabóia	banaboia
bangüezeiro	banguezeiro
barba-de-baleia	barba de baleia
barca-de-ouro	barca de ouro
barriga-de-bicho	barriga de bicho
barriga-de-freira	barriga de freira
basiopinacóide	basiopinacoide
basipinacóide	basipinacoide
batracóide	batracoide
beijo-de-moça	beijo de moça
belemnóide	belemnoide
belonóide	belonoide
benzóico	benzoico
beróide	beroide
betóia	betoia
bibliorréia	bibliorreia
bibliorréico	bibliorreico
bicha-de-rabear	bicha de rabear
bicha-de-sete-cabeças	bicha de sete cabeças
bicho-de-sete-cabeças	bicho de sete cabeças
bicho-do-buraco	bicho do buraco
bicho-do-mato	bicho do mato
bicho-do-ouvido	bicho do ouvido
bico-de-gás	bico de gás
bico-de-gavião	bico de gavião
bico-de-mocho	bico de mocho
bico-de-obra	bico de obra
bico-de-pato	bico de pato
bife-de-caneca	bife de caneca
bilhete-de-identidade	bilhete de identidade
bilhete-de-visita	bilhete de visita
bilíngüe	bilíngue
bilingüismo	bilinguismo
biocolóide	biocoloide
bioflavonóide	bioflavonoide
bissóide	bissoide
biungüiculado	biunguiculado
blastóides	blastoides
blenorréia	blenorreia
blenorréico	blenorreico
boca-de-favas	boca de favas
boca-de-fogo	boca de fogo
boca-de-incêndio	boca de incêndio
boca-de-sino	boca de sino
boca-de-siri	boca de siri
bóia	boia
bóia-fria	boia-fria
boioçubóia	boioçuboia
boiúna	boiuna
boiúno	boiuno
bola-ao-cesto	bola ao cesto
boléia	boleia
bom-de-bico	bom de bico
bota-de-elástico	bota de elástico
botrióide	botrioide
braço-de-armas	braço de armas
braço-de-ferro	braço de ferro
bradipnéia	bradipneia
bradipnéico	bradipneico
branco-de-baleia	branco de baleia
braquióide	braquioide
braquipinacóide	braquipinacoide
braquipnéia	braquipneia
braquipnéico	braquipneico
brevilíngüe	brevilíngue
broncorréia	broncorreia
broncorréico	broncorreico
bubonóide	bubonoide
cabeça-de-abóbora	cabeça de abóbora
cabeça-de-alho-chocho	cabeça de alho chocho
cabeça-de-asno	cabeça de asno
cabeça-de-avelã	cabeça de avelã
cabeça-de-burro	cabeça de burro
cabeça-de-carneiro	cabeça de carneiro
cabeça-de-cartaz	cabeça de cartaz
cabeça-de-casal	cabeça de casal
cabeça-de-cavalo	cabeça de cavalo
cabeça-de-lista	cabeça de lista
cabeça-de-motim	cabeça de motim
cabeça-de-pau	cabeça de pau
cabeça-de-ponte	cabeça de ponte
cabeça-de-porco	cabeça de porco
cabeça-de-secção	cabeça de secção
cabeça-de-série	cabeça de série
cabeça-de-tremoço	cabeça de tremoço
cabeça-de-turco	cabeça de turco
cabeça-de-vento	cabeça de vento
cabeça-no-ar	cabeça no ar
cabo-de-esquadra	cabo de esquadra
cabo-de-guerra	cabo de guerra
cacabóia	cacaboia
cactóide	cactoide
caféico	cafeico
caixa-de-ar	caixa de ar
caixa-de-música	caixa de música
caixa-de-óculos	caixa de óculos
caixa-de-ressonância	caixa de ressonância
caixa-de-rufo	caixa de rufo
caixa-dos-pirolitos	caixa dos pirolitos
calamóide	calamoide
calcóide	calcoide
caldéia	caldeia
câmara-de-ar	câmara de ar
caméia	cameia
caminho-de-ferro	caminho de ferro
camisa-de-força	camisa de força
camisa-de-forças	camisa de forças
camisa-de-onze-varas	camisa de onze varas
camisa-de-vênus	camisa de Vênus
camisa-do-pano	camisa do pano
cana-de-roca	cana de roca
canal-da-areia	canal da areia
cananéia	cananeia
cancróide	cancroide
canforóide	canforoide
canto-de-cisne	canto de cisne
canto-do-cisne	canto do cisne
capa-de-chuva	capa de chuva
capitão-de-bandeira	capitão de bandeira
capitão-de-corveta	capitão de corveta
capitão-de-fragata	capitão de fragata
capitão-de-mar-e-guerra	capitão de mar e guerra
capróico	caproico
cara-de-pau	cara de pau
carcinóide	carcinoide
cardióide	cardioide
carne-de-sol	carne de sol
carotenóide	carotenoide
carréia	carreia
carreira-de-tiro	carreira de tiro
carta-de-prego	carta de prego
cartão-de-visita	cartão de visita
casca-de-noz	casca de noz
catangüera	catanguera
catenóide	catenoide
catesbéia	catesbeia
cavalo-de-batalha	cavalo de batalha
cavalo-de-frisa	cavalo de frisa
cavalo-do-cão	cavalo do cão
cefaléia	cefaleia
cefalóide	cefaloide
celidéia	celideia
celulóide	celuloide
Cenozóico	Cenozoico
centilíngüe	centilíngue
centopéia	centopeia
centro-de-mesa	centro de mesa
ceratóide	ceratoide
cerebróide	cerebroide
ceróide	ceroide
cestóide	cestoide
céu-da-boca	céu da boca
chacóina	chacoina
changüi	changui
chapéu-de-chuva	chapéu de chuva
chapéu-de-sol	chapéu de sol
chefe-de-fila	chefe de fila
chirimóia	chirimoia
ciamóide	ciamoide
cianóide	cianoide
ciatóide	ciatoide
cibéia	cibeia
ciclóide	cicloide
cicnóide	cicnoide
cilindróide	cilindroide
cinqüenta	cinquenta
cinqüentão	cinquentão
cinqüentavo	cinquentavo
cinqüentenário	cinquentenário
circéia	circeia
cirenéia	cireneia
cirróide	cirroide
cirsóide	cirsoide
cissóide	cissoide
cisticercóide	cisticercoide
cistiocercóide	cistiocercoide
cistióide	cistioide
cistóide	cistoide
cistorréia	cistiorreia
cistorréia	cistorreia
citóide	citoide
clarabóia	claraboia
clinóide	clinoide
clinopinacóide	clinopinacoide
co-acusado	coacusado
co-administração	coadministração
co-administrador	coadministrador
co-administradora	coadministradora
co-administrar	coadministrar
co-aluno	coaluno
co-apóstolo	coapóstolo
co-argüida	coarguida
co-argüido	coarguido
co-arrendador	coarrendador
co-arrendamento	coarrendamento
co-arrendar	coarrendar
co-arrendatária	coarrendatária
co-arrendatário	coarrendatário
co-associado	coassociado
co-autor	coautor
co-autora	coautora
co-autoria	coautoria
co-credor	cocredor
co-credora	cocredora
co-criador	cocriador
co-criadora	cocriadora
co-delinqüência	codelinquência
co-delinqüente	codelinquente
co-delinqüir	codelinquir
co-demandante	codemandante
co-demandista	codemandista
co-descobridor	codescobridor
co-detentor	codetentor
co-devedor	codevedor
co-devedora	codevedora
co-dialecto, co-dialeto	codialeto, codialecto
co-direção	codireção
co-directora	codiretora
co-diretor	codiretor
co-dirigir	codirigir
co-dominância	codominância
co-dominante	codominante
co-donatário	codonatário
co-editar	coeditar
co-eleitor	coeleitor
co-eremita	coeremita
co-esposa	coesposa
co-esposo	coesposo
co-eternidade	coeternidade
co-eterno	coeterno
co-evangelista	coevangelista
co-fator, co-factor	cofator, cofactor
co-fiador	cofiador
co-fiadora	cofiadora
co-financiado	cofinanciado
co-financiador	cofinanciador
co-financiadora	cofinanciadora
co-financiamento	cofinanciamento
co-financiar	cofinanciar
co-fundador	cofundador
co-gerência	cogerência
co-gerente	cogerente
co-gerir	cogerir
co-gestão	cogestão
co-igual	coigual
co-incineração	coincineração
co-incineradora	coincineradora
co-incinerar	coincinerar
co-inquilino	coinquilino
co-interessado	cointeressado
co-latitude	colatitude
co-legado	colegado
co-legatária	colegatária
co-legatário	colegatário
co-legislativo	colegislativo
co-leitor	coleitor
co-licitante	colicitante
co-litigação	colitigação
co-litigante	colitigante
