#aciso acisa=A;src: LT;
#cadelo cadela=A;src: LT;
#coiso coisa=A;src: LT;
#espaço espaça=A;src: LT; unusual Brazil
#ninguém=A;src: LT; wrong?
#rui=A;src: LT; unusual
#turbo turba=A;src: LT;
abaçanado abaçanada=A;src: LT;
abaíba=A;src: LT;
abaúna=A;src: LT;
abbevillense=A;src: LT;
abcedente=A;src: LT;
abcidente=A;src: LT;
abcindente=A;src: LT;
abdalita=A;src: LT;
abderense=A;src: LT;
abderiano abderiana=A;src: LT;
abderita=A;src: LT;
abderítico abderítica=A;src: LT;
abderólogo abderóloga=A;src: LT;
abdicado abdicada=A;src: LT;
abdicador abdicadora=A;src: LT;
abdicante=A;src: LT;
abdicativo abdicativa=A;src: LT;
abdicatário abdicatária=A;src: LT;
abdicatório abdicatória=A;src: LT;
abdicável=A;src: LT;
abditivo abditiva=A;src: LT;
abdominal=A;src: LT;
abdominoscópico abdominoscópica=A;src: LT;
abdominoso abdominosa=A;src: LT;
abdominotorácico abdominotorácica=A;src: LT;
abdomínico abdomínica=A;src: LT;
abducente=A;src: LT;
abdutivo abdutiva=A;src: LT;
abdutor abdutora=A;src: LT;
abduzível=A;src: LT;
abeata=A;src: LT;
abeatado abeatada=A;src: LT;
abeberado abeberada=A;src: LT;
abecedário abecedária=A;src: LT;
abeirado abeirada=A;src: LT;
abeirante=A;src: LT;
abeiro abeira=A;src: LT;
abelano abelana=A;src: LT;
abelense=A;src: LT;
abelhudo abelhuda [sup. abelhudíssimo]=A;src: LT;
abeliano abeliana=A;src: LT;
abelidado abelidada=A;src: LT;
abelinate=A;src: LT;
abemolado abemolada=A;src: LT;
abencerragem=A;src: LT;
abendiçoado abendiçoada=A;src: LT;
abendiçoador abendiçoadora=A;src: LT;
abendiçoante=A;src: LT;
abengalado abengalada=A;src: LT;
abençoadeiro abençoadeira=A;src: LT;
abençoado abençoada=A;src: LT;
abençoador abençoadora=A;src: LT;
abençoante=A;src: LT;
abençoável=A;src: LT;
aberingelado aberingelada=A;src: LT;
aberlindado aberlindada=A;src: LT;
aberrante=A;src: LT;
aberrativo aberrativa=A;src: LT;
aberratório aberratória=A;src: LT;
abertivo abertiva=A;src: LT;
abertiço abertiça=A;src: LT;
aberto aberta [sup. abertíssimo]=A;src: LT;
abeselgado abeselgada=A;src: LT;
abespinhadiço abespinhadiça=A;src: LT;
abespinhado abespinhada [sup. abespinhadíssimo]=A;src: LT;
abespinhável=A;src: LT;
