#no no RG
#nom nom RG
ressim ressim RG
resvés resvés RG
retanto retanto RG
retro retro RG
rijo rijo RG
rinforzando rinforzando RG
rápido rápido RG
rés rés RG
salvo salvo RG
samicas samicas RG
scherzando scherzando RG
secreto secreto RG
segundo segundo RG
seguro seguro RG
sempre sempre RG
senão senão RG
sequer sequer RG
sforzando sforzando RG
si si RG
sic sic RG
sicais sicais RG
sim sim RG
smorzando smorzando RG
sobejo sobejo RG
sobemenda sobemenda RG
sobreguisa sobreguisa RG
sobremaneira sobremaneira RG
sobremanhã sobremanhã RG
sobremodo sobremodo RG
sobreparto sobreparto RG
sobrepensado sobrepensado RG
sobreposse sobreposse RG
sobretarde sobretarde RG
sobreteima sobreteima RG
sobretudo sobretudo RG
sottovoce sottovoce RG
supra supra RG
suso suso RG
sério sério RG
só só RG
súbito súbito RG
súpito súpito RG
tal tal RG
talvez talvez RG
tamalavez tamalavez RG
também também RG
tampouco tampouco RG
tanto tanto RG
tantíssimo tantíssimo RG
tarde tarde RG
tardíssimo tardíssimo RG
tarraz-borraz tarraz-borraz RG
tecó tecó RG
tefe-tefe tefe-tefe RG
teteté teteté RG
todavia todavia RG
todo todo RG
torto torto RG
toste toste RG
trasantontem trasantontem RG
tresantontem tresantontem RG
tripetrepe tripetrepe RG
trás-anteontem trás-anteontem RG
tão tão RG
tão-pouco tão-pouco RG
tão-só tão-só RG
u u RG
unânime unânime RG
vai-não-vai vai-não-vai RG
vice-versa vice-versa RG
vilipendiosamante vilipendiosamante RG
vis-à-vis vis-à-vis RG
és-não-és és-não-és RG
ínterim ínterim RG
