Ortografia Antiga	Ortografia Nova
anti-rugas	antirrugas
anti-salazarista	antissalazarista
anti-sátira	antissátira
anti-semita	antissemita
anti-semítico	antissemítico
anti-semitismo	antissemitismo
anti-sepsia	antissepsia
anti-sepsiador	antissepsiador
anti-sepsiar	antissepsiar
anti-séptico	antisséptico, antissético
anti-sezonático	antissezonático
anti-sialagogo	antissialagogo
anti-siálico	antissiálico
anti-sida	antissida
anti-sifilítico	antissifilítico
anti-sigma	antissigma
anti-simbólico	antissimbólico
anti-sinodal	antissinodal
anti-sísmico	antissísmico
anti-sistema	antissistema
anti-social	antissocial
anti-socialismo	antissocialismo
anti-socialista	antissocialista
anti-sociável	antissociável
anti-sofista	antissofista
anti-soro	antissoro
anti-soviético	antissoviético
anti-submarino	antissubmarino
anti-subversão	antissubversão
anti-sudoral	antissudoral
anti-sudorífico	antissudorífico
antiapopléctico	antiapoplético
antiatáctico	antiatático
anticaquéctico	anticaquético
anticepticismo	anticeticismo
anticéptico	anticético
anticoncepcional	anticoncecional
anticonceptivo	anticoncetivo
antiepiléptico	antiepilético
antiferroelectricidade	antiferroeletricidade
antiferroeléctrico	antiferroelétrico
antimetaléptico	antimetalético
antipráctico	antiprático
antracóide	antracoide
antropóide	antropoide
antropotáctico	antropotático
antropozóico	antropozoico
apercepção	aperceção
aperceptibilidade	apercetibilidade
aperceptível	apercetível
aperceptivo	apercetivo
apocalipticismo	apocaliticismo
apocalíptico	apocalíptico, apocalítico
apodíctica	apodítica
apodíctico	apodítico
apomíctico	apomítico
apopléctico	apoplético
aposséptico	apossético
apotáctico	apotático
apráctico	aprático
aquapunctura	aquapuntura, aquapunctura
aquapuncturar	aquapunturar, aquapuncturar
arabóia	araboia
aracnóide	aracnoide
araçóia	araçoia
ararabóia	araraboia
ararambóia	araramboia
arazóia	arazoia
arco-da-aliança	arco da aliança
arco-da-chuva	arco da chuva
arco-de-deus	arco de Deus
árctico	ártico
arctícola	artícola
arefacção	arefação
argilóide	argiloide
aritenóide	aritenoide
arqueozóico	arqueozoico
arqueozóico	arqueozoico
arqui-rabino	arquirrabino
arqui-rival	arquirrival
arqui-rivalidade	arquirrivalidade
arqui-sacerdote	arquissacerdote
arqui-são	arquissão
arqui-sátrapa	arquissátrapa
arqui-secular	arquissecular
arqui-senescal	arquissenescal
arqui-sinagoga	arquissinagoga
arqui-sistro	arquissistro
arqui-sofista	arquissofista
arquitecta	arquiteta
arquitectação	arquitetação
arquitectar	arquitetar
arquitectável	arquitetável
arquitecto	arquiteto
arquitectónica	arquitetónica
arquitectonicamente	arquitetonicamente
arquitectónico	arquitetónico
arquitectonografia	arquitetonografia
arquitectonográfico	arquitetonográfico
arquitectonógrafo	arquitetonógrafo
arquitector	arquitetor
arquitectura	arquitetura
arquitectural	arquitetural
arquitecturismo	arquiteturismo
arquitecturista	arquiteturista
arroz-de-cuxá	arroz de cuxá
arruda-dos-muros	arruda dos muros
árvore-da-vida	árvore da vida
asbestóide	asbestoide
aspecto	aspeto
aspectual	aspectual
asplenióide	asplenioide
asséptico	asséptico, assético
assimptota	assimptota, assintota
assimptótico	assimptótico, assintótico
assimptotismo	assintotismo, assimptotismo
assintáctico	assintático
assumpcionista	assuncionista
asteróide	asteroide
astragalóide	astragaloide
astróide	astroide
atlóide	atloide
atracção	atração
atractivamente	atrativamente
atractividade	atratividade
atractivo	atrativo
aurifactório	aurifatório
auto-abastecer	autoabastecer
auto-acusação	autoacusação
auto-adesivo	autoadesivo
auto-administração	autoadministração
auto-administrar	autoadministrar
auto-administrável	autoadministrável
auto-admiração	autoadmiração
auto-ajuda	autoajuda
auto-análise	autoanálise
auto-aplicável	autoaplicável
auto-avaliação	autoavaliação
auto-de-fé	auto de fé
auto-educação	autoeducação
auto-educativo	autoeducativo
auto-elogio	autoelogio
auto-emprego	autoemprego
auto-endireitável	autoendireitável
auto-escada	autoescada
auto-escola	autoescola
auto-estima	autoestima
auto-estrada	autoestrada
auto-excitação	autoexcitação
auto-excitar	autoexcitar
auto-excluir	autoexcluir
auto-executável	autoexecutável
auto-imagem	autoimagem
auto-imposição	autoimposição
auto-imposto	autoimposto
auto-imune	autoimune
auto-imunidade	autoimunidade
auto-imunização	autoimunização
auto-inculpação	autoinculpação
auto-indução	autoindução
auto-indulgência	autoindulgência
auto-indulgente	autoindulgente
auto-infecção	autoinfeção
auto-intitulado	autointitulado
auto-intoxicação	autointoxicação
auto-rádio	autorrádio
auto-radiografia	autorradiografia
auto-radiográfico	autorradiográfico
auto-referencial	autorreferencial
auto-reflexão	autorreflexão
auto-regulação	autorregulação
auto-regulador	autorregulador
auto-retrato	autorretrato
auto-satisfação	autossatisfação
auto-serviço	autosserviço
auto-suficiência	autossuficiência
auto-suficiente	autossuficiente
auto-sugestão	autossugestão
auto-sugestionar	autossugestionar
auto-sugestionável	autossugestionável
auto-suspender	autossuspender
auto-suspenso	autossuspenso
auto-sustentável	autossustentável
autocorrecção	autocorreção
autocorrectivo	autocorretivo
autocorrector	autocorretor
autodidacta	autodidata
autodidáctica	autodidática
autodidacticamente	autodidaticamente
autodidáctico	autodidático
autodidactismo	autodidatismo
autoprojecção	autoprojeção
autoprojector	autoprojetor
autoprotecção	autoproteção
autotractor	autotrator
axifóide	axifoide
axóide	axoide
azeite-de-cheiro	azeite de cheiro
azeite-de-pau	azeite de pau
