Ortografia Antiga	Ortografia Nova
dactiloteca	dactiloteca, datiloteca
dactilozoário	dactilozoário, datilozoário
dactilozóide	dactilozoide, datilozoide
dança-de-são-vito	dança de São Vito
deadjectival	deadjetival
decepção	deceção
decepcionado	dececionado
decepcionante	dececionante
decepcionar	dececionar
decepcionável	dececionável
deceptivo	decetivo
defecção	defeção
defectibilidade	defetibilidade
defectível	defetível
defectividade	defetividade
defectivo	defetivo
defectório	defetório
defectuoso	defetuoso
deflectir	defletir, deflectir
deflectível	defletível, deflectível
deflectográfico	defletográfico
deflectógrafo	defletógrafo
deflectométrico	defletométrico
deflectómetro	defletómetro
deflector	defletor, deflector
deíctico	deítico, deíctico
dêictico	dêitico, dêictico
dejecção	dejeção
dejectar	dejetar
dejecto	dejeto
dejectório	dejetório
delfinóide	delfinoide
deltóide	deltoide
demo-liberal	demoliberal
demo-liberalismo	demoliberalismo
dendróide	dendroide
dente-de-coelho	dente de coelho
dentes-de-lobo	dentes de lobo
dentes-de-serra	dentes de serra
dermatóide	dermatoide
dermóide	dermoide
dermoprotector	dermoprotetor
desactivação	desativação
desactivado	desativado
desactivar	desativar
desactualização	desatualização
desactualizado	desatualizado
desactualizar	desatualizar
desafectação	desafetação
desafectadamente	desafetadamente
desafectado	desafetado
desafectar	desafetar
desafecto	desafeto
desarquitectar	desarquitetar
desbaptizar	desbatizar
descaracterização	descaracterização, descaraterização
descaracterizado	descaracterizado, descaraterizado
descaracterizar	descaracterizar, descaraterizar
descontracção	descontração
deselectrizar	deseletrizar
deselectrizável	deseletrizável
desinfecção	desinfeção
desinfeccionar	desinfecionar
desinfectador	desinfetador
desinfectante	desinfetante
desinfectar	desinfetar
desinfectável	desinfetável
desinfectório	desinfetório
desmóide	desmoide
desmorréctico	desmorrético
desprotecção	desproteção
detecção	deteção
detectabilidade	detetabilidade
detectar	detetar
detectável	detetável
detectiva	detetiva
detective	detetive
detector	detetor
detracção	detração
detractivo	detrativo
detractor	detrator
detractora	detratora
Dezembro	dezembro
dia-a-dia	dia a dia
dialectal	dialetal
dialectalmente	dialetalmente
dialéctica	dialética
dialecticamente	dialeticamente
dialéctico	dialético
dialectismo	dialetismo
dialectista	dialetista
dialectização	dialetização
dialectizar	dialetizar
dialecto	dialeto
dialectologia	dialetologia
dialectológico	dialetológico
dialectologista	dialetologista
dialectólogo	dialetólogo
diamantóide	diamantoide
diapnóico	diapnoico
dicataléctico	dicatalético
dicróico	dicroico
didacta	didata
didáctica	didática
didacticamente	didaticamente
didáctico	didático
didactismo	didatismo
didactologia	didactologia, didatologia
didactológico	didactológico, didatológico
dielectricidade	dieletricidade
dieléctrico	dielétrico
difracção	difração
difractar	difratar
difractivo	difrativo
difractómetro	difractómetro, difratómetro
dilecção	dileção
dilecto	dileto
dinamoeléctrico	dinamoelétrico
dióico	dioico
diplóico	diploico
diplóide	diploide
dipnóico	dipnoico
direcção	direção
direcção-geral	direção-geral
direcção-regional	direção-regional
direccionabilidade	direcionabilidade
direccionado	direcionado
direccional	direcional
direccionamento	direcionamento
direccionar	direcionar
direccionável	direcionável
directa	direta
directamente	diretamente
directiva	diretiva
directivo	diretivo
directo	direto
director	diretor
director-adjunto	diretor-adjunto
director-delegado	diretor-delegado
director-desportivo	diretor-desportivo
director-editor	diretor-editor
director-executivo	diretor-executivo
director-geral	diretor-geral
director-proprietário	diretor-proprietário
directora-executiva	diretora-executiva
directora-geral	diretora-geral
directorado	diretorado
directoral	diretoral
directoria	diretoria
directorial	diretorial
directório	diretório
directriz	diretriz
discóide	discoide
disléctico	dislético
disoréctico	disorético
distáctico	distático
distracção	distração
distráctil	distrátil
distractivo	distrativo
dolicóide	dolicoide
ecfráctico	ecfrático
ecléctica	eclética
eclecticamente	ecleticamente
eclecticismo	ecleticismo
ecléctico	eclético
eclectismo	ecletismo
eclíptica	eclíptica, eclítica
eclíptico	eclíptico, eclítico
eco-eficiência	ecoeficiência
eco-taxa	ecotaxa
ecóico	ecoico
edictal	edital
edicto	edito
edrioasteróides	edrioasteroides
efectivação	efetivação
efectivador	efetivador
efectivamente	efetivamente
efectivar	efetivar
efectivável	efetivável
efectível	efetível
efectividade	efetividade
efectivo	efetivo
efectuação	efetuação
efectuador	efetuador
efectuar	efetuar
efectuável	efetuável
efectuoso	efetuoso
efracção	efração
efractura	efratura
ejecção	ejeção
ejectar	ejetar
ejectável	ejetável
ejectólito	ejetólito
ejector	ejetor
electivamente	eletivamente
electividade	eletividade
electivo	eletivo
electracústica	eletracústica
electrão	eletrão
electrão-volt	eletrão-volt
electrargol	eletrargol
electrencefalografia	eletrencefalografia
electrencefalográfico	eletrencefalográfico
electrencefalograma	eletrencefalograma
electrete	eletrete
electrexecução	eletrexecução
electricamente	eletricamente
electricidade	eletricidade
electricismo	eletricismo
electricista	eletricista
eléctrico	elétrico
electrificação	eletrificação
electrificador	eletrificador
electrificar	eletrificar
electrificável	eletrificável
electríman	eletríman
eléctrino	elétrino
electrização	eletrização
electrizador	eletrizador
electrizante	eletrizante
electrizar	eletrizar
electrizável	eletrizável
electroacústico	eletroacústico
electrobalística	eletrobalística
electrobiologia	eletrobiologia
electrobiológico	eletrobiológico
electrobomba	eletrobomba
electrocardiografia	eletrocardiografia
electrocardiográfico	eletrocardiográfico
electrocardiógrafo	eletrocardiógrafo
electrocardiograma	eletrocardiograma
electrochoque	eletrochoque
electrocinética	eletrocinética
electrocinético	eletrocinético
electrocirurgia	eletrocirurgia
electrocoagulação	eletrocoagulação
electrocultura	eletrocultura
electrocussão	eletrocussão
electrocutado	eletrocutado
electrocutar	eletrocutar
electrocutir	eletrocutir
electrocutor	eletrocutor
electrodeposição	eletrodeposição
electrodiagnóstico	eletrodiagnóstico
electrodiálise	eletrodiálise
electrodinâmica	eletrodinâmica
electrodinâmico	eletrodinâmico
electrodinamismo	eletrodinamismo
electrodinamómetro	eletrodinamómetro
electródio	eletródio
eléctrodo	elétrodo
electrodoméstico	eletrodoméstico
electroencefalografia	eletroencefalografia
electroencefalográfico	eletroencefalográfico
electroencefalógrafo	eletroencefalógrafo
electroencefalograma	eletroencefalograma
electrófilo	eletrófilo
electrofisiologia	eletrofisiologia
electrofisiológico	eletrofisiológico
electrofone	eletrofone
electroforese	eletroforese
electroformação	eletroformação
electróforo	eletróforo
electrofotografia	eletrofotografia
electrofotográfico	eletrofotográfico
electrogalvânico	eletrogalvânico
electrogalvanismo	eletrogalvanismo
electrogéneo	eletrogéneo
electrogénese	eletrogénese
electrogenético	eletrogenético
electrógeno	eletrógeno
electrogerador	eletrogerador
electrografia	eletrografia
electrográfico	eletrográfico
electrógrafo	eletrógrafo
electroíman	eletroíman
electrolisação	eletrolisação
electrolisador	eletrolisador
electrolisar	eletrolisar
electrolisável	eletrolisável
electrólise	eletrólise
electrolítico	eletrolítico
electrólito	eletrólito
electrologia	eletrologia
electrológico	eletrológico
electroluminescência	eletroluminescência
electroluminescente	eletroluminescente
electromagnete	eletromagnete
electromagnético	eletromagnético
electromagnetismo	eletromagnetismo
electromecânica	eletromecânica
electromecânico	eletromecânico
electromeopatia	eletromeopatia
electrometalurgia	eletrometalurgia
electrometalúrgico	eletrometalúrgico
electrometria	eletrometria
electrométrico	eletrométrico
electrómetro	eletrómetro
electromiografia	eletromiografia
electromiograma	eletromiograma
electromotor	eletromotor
electromotriz	eletromotriz
electromóvel	eletromóvel
eléctron	elétron
electronegatividade	eletronegatividade
electronegativo	eletronegativo
electrónica	eletrónica
electronicamente	eletronicamente
electrónico	eletrónico
electrónio	eletrónio
electroóptica	eletro-ótica
electroóptico	eletro-ótico
electropexia	eletropexia
electropositividade	eletropositividade
electropositivo	eletropositivo
electróptica	eletrótica
electropunctura	eletropuntura, eletropunctura
electroquímica	eletroquímica
electroquímico	eletroquímico
electrorradiologia	eletrorradiologia
electrorradiologista	eletrorradiologista
electroscopia	eletroscopia
electroscópico	eletroscópico
electroscópio	eletroscópio
electrossemáforo	eletrossemáforo
electrosserra	eletrosserra
electrossiderurgia	eletrossiderurgia
electrossiderúrgico	eletrossiderúrgico
electrossoldadura	eletrossoldadura
electrostática	eletrostática
electrostático	eletrostático
electrostricção	eletrostrição
electrotanásia	eletrotanásia
electrotecnia	eletrotecnia
electrotécnica	eletrotécnica
electrotécnico	eletrotécnico
electroterapeuta	eletroterapeuta
electroterapêutica	eletroterapêutica
electroterapêutico	eletroterapêutico
electroterapia	eletroterapia
electroterápico	eletroterápico
electrotermia	eletrotermia
electrotérmico	eletrotérmico
electrotipia	eletrotipia
electrotípico	eletrotípico
electrótipo	eletrótipo
electrotónico	eletrotónico
electrotropia	eletrotropia
electrotrópico	eletrotrópico
electrotropismo	eletrotropismo
electrovalência	eletrovalência
electrovalente	eletrovalente
electrovegetómetro	eletrovegetómetro
electrovital	eletrovital
electrovitalismo	eletrovitalismo
electrozónio	eletrozónio
elefantóide	elefantoide
elipsóide	elipsoide
elitróide	elitroide
embrióide	embrioide
encefalóide	encefaloide
enguia-eléctrica	enguia-elétrica
enterozóico	enterozoico
entreacto	entreato
enzóico	enzoico
Eozóico	Eozoico
epiciclóide	epicicloide
epidermóide	epidermoide
epiléptica	epilética
epiléptico	epilético
epileptóide	epileptoide
epiplóico	epiploico
epitelióide	epitelioide
epizóico	epizoico
equinóide	equinoide
Equinóides	Equinoides
equióide	equioide
erecção	ereção
erectamente	eretamente
erectida	eretida
eréctil	eréctil, erétil
erectilidade	erectilidade, eretilidade
erecto	ereto
erector	eretor
eritemóide	eritemoide
eritróide	eritroide
escafóide	escafoide
escarlatinóide	escarlatinoide
escorpióide	escorpioide
esfenóide	esfenoide
esferóide	esferoide
esméctico	esmético
espectacular	espetacular
espectacularidade	espetacularidade
espectacularmente	espetacularmente
espectáculo	espetáculo
espectaculosamente	espetaculosamente
espectaculosidade	espetaculosidade
espectaculoso	espetaculoso
espectador	espectador, espetador
espectadora	espectadora, espetadora
espectral	espectral, espetral
espectralidade	espectralidade, espetralidade
espectro	espectro, espetro
espectrofobia	espectrofobia, espetrofobia
espectrofotometria	espectrofotometria, espetrofotometria
espectrofotométrico	espectrofotométrico, espetrofotométrico
espectrofotómetro	espectrofotómetro, espetrofotómetro
espectrografia	espectrografia, espetrografia
espectrográfico	espectrográfico, espetrográfico
espectrógrafo	espectrógrafo, espetrógrafo
espectrograma	espectrograma, espetrograma
espectrologia	espectrologia, espetrologia
espectrológico	espectrológico, espetrológico
espectrometria	espectrometria, espetrometria
espectrométrico	espectrométrico, espetrométrico
espectrómetro	espectrómetro, espetrómetro
espectroscopia	espectroscopia, espetroscopia
espectroscópico	espectroscópico, espetroscópico
espectroscópio	espectroscópio, espetroscópio
espectroscopista	espetroscopista, espectroscopista
espermatozóide	espermatozoide
espiróide	espiroide
esplenenfráctico	esplenenfrático
esplenóide	esplenoide
esplenopéctico	esplenopético
espongióide	espongioide
espuma-do-mar	espuma do mar
esquistóide	esquistoide
esquizóide	esquizoide
estaminóide	estaminoide
estatorreactor	estatorreator
esteleróide	esteleroide
esteróide	esteroide
estilóide	estiloide
Estio	estio
estóica	estoica
estóico	estoico
estrongilóide	estrongiloide
estupefacção	estupefação
estupefactivo	estupefactivo, estupefativo
estupefactor	estupefator
etanodióico	etanodioico
etanóico	etanoico
etmóide	etmoide
eubóico	euboico
eunucóide	eunucoide
euplóide	euploide
eurocéptica	eurocética
eurocepticismo	euroceticismo
eurocéptico	eurocético
europtimismo	eurotimismo
eutáctico	eutático
ex-accionista	ex-acionista
ex-director	ex-diretor
ex-directora	ex-diretora
ex-seleccionador	ex-selecionador
exacção	exação
exactamente	exatamente
exactidão	exatidão
exactificar	exatificar
exactissimamente	exatissimamente
exactíssimo	exatíssimo
exacto	exato
exactor	exator
exactoria	exatoria
excepção	exceção
excepcional	excecional
excepcionalidade	excecionalidade
excepcionalmente	excecionalmente
excepcionar	excecionar
excepta	exceta
exceptivo	excetivo
excepto	exceto
exceptuador	excetuador
exceptuar	excetuar
exceptuável	excetuável
expectação	expectação, expetação
expectador	expectador, expetador
expectadora	expectadora, expetadora
expectante	expectante, expetante
expectantismo	expectantismo, expetantismo
expectar	expectar, expetar
expectativa	expectativa, expetativa
expectatório	expectatório, expetatório
expectável	expectável, expetável
expectoração	expetoração
expectorante	expetorante
expectorar	expetorar
exteroceptivo	exterocetivo
exteroceptor	exterocetor
extra-escolar	extraescolar
extra-estatutário	extraestatutário
extra-europeu	extraeuropeu
extra-ocular	extraocular
extra-oficial	extraoficial
extra-oficialmente	extraoficialmente
extra-orgânico	extraorgânico
extra-regimental	extrarregimental
extra-regulamentar	extrarregulamentar
extra-secular	extrassecular
extra-sensível	extrassensível
extra-sensorial	extrassensorial
extra-sensorialidade	extrassensorialidade
extra-sístole	extrassístole
extra-sistólico	extrassistólico
extra-urbano	extraurbano
extra-uterino	extrauterino
extracção	extração
extractar	extratar
extractiforme	extratiforme
extractivo	extrativo
extracto	extrato
extractor	extrator
extractora	extratora
extrojecção	extrojeção
extrospecção	extrospeção
extrospectivo	extrospetivo
faca-de-mato	faca de mato
facção	fação
facóide	facoide
factóide	factoide
factor	fator
factor-chave	fator-chave
factorial	fatorial
factorizar	fatorizar
factura	fatura
facturação	faturação
facturar	faturar
facturável	faturável
falóide	faloide
Fanerozóico	Fanerozoico
farinha-de-pau	farinha de pau
fascistóide	fascistoide
fato-de-banho	fato de banho
fato-de-macaco	fato de macaco
fato-de-saia-e-casaco	fato de saia e casaco
fato-de-treino	fato de treino
fava-do-egipto	fava-do-egito
febre-de-malta	febre de Malta
febre-dos-fenos	febre dos fenos
febre-dos-três-dias	febre dos três dias
fecalóide	fecaloide
feculóide	feculoide
feldspatóide	feldspatoide
ferrielectricidade	ferrieletricidade
ferrieléctrico	ferrielétrico
ferro-de-engomar	ferro de engomar
ferro-de-romã	ferro de romã
ferroelectricidade	ferroeletricidade
ferroeléctrico	ferroelétrico
Fevereiro	fevereiro
fezes-de-ouro	fezes de ouro
fibróide	fibroide
ficóide	ficoide
filho-da-terra	filho da terra
filho-de-parida	filho de parida
filocacto	filocato
filóide	filoide
filotáctico	filotático
fim-de-semana	fim de semana
fimatóide	fimatoide
fio-de-prumo	fio de prumo
fios-de-ovos	fios de ovos
fiscal-de-linha	fiscal de linha
fisóide	fisoide
fitóide	fitoide
fitotáctico	fitotático
flavonóide	flavonoide
flebopéctico	flebopético
flectido	fletido
flectir	fletir
flectómetro	fletómetro
flector	fletor
flictena	flitena
flictenóide	flictenoide
flor-de-enxofre	flor de enxofre
focinho-de-tenca	focinho de tenca
fogo-de-artifício	fogo de artifício
fogo-de-bengala	fogo de Bengala
fogo-de-santelmo	fogo de Santelmo
fogo-de-santo-antão	fogo de Santo Antão
fogo-de-vista	fogo de vista
fogo-do-ar	fogo do ar
fóia	foia
fóide	foide
fóio	foio
folha-de-flandres	folha de Flandres
folhos-de-sinhá	folhos de sinhá
fonético-sintacticamente	fonético-sintaticamente
fonético-sintáctico	fonético-sintático
fora-da-lei	fora da lei
fora-de-jogo	fora de jogo
fotelectrão	foteletrão
fotelectricidade	foteletricidade
foteléctrico	fotelétrico
foto-receptor	fotorrecetor
fotodieléctrico	fotodielétrico
fotoelectrão	fotoeletrão
fotoelectricidade	fotoeletricidade
fotoeléctrico	fotoelétrico
fotóptico	fotótico
fototáctico	fototático
fototactismo	fototactismo, fototatismo
fracção	fração
fraccionamento	fracionamento
fraccionar	fracionar
fraccionário	fracionário
fraccionável	fracionável
fracciúncula	fraciúncula
fractura	fratura
fracturamento	fraturamento
fracturante	fraturante
fracturar	fraturar
fracturável	fraturável
fradinho-da-mão-furada	fradinho da mão furada
fradinho-de-mão-furada	fradinho de mão furada
frente-a-frente	frente a frente
frutos-do-mar	frutos do mar
fucóide	fucoide
fula-de-gabu	fula de Gabu
Fulano	fulano
funarióide	funarioide
furcróia	furcroia
fusóide	fusoide
gabróico	gabroico
gadóide	gadoide
gaita-de-beiços	gaita de beiços
gaita-de-foles	gaita de foles
galactóide	galactoide
galinsecto	galinseto
galvanopunctura	galvanopuntura, galvanopunctura
galvanotáctico	galvanotático
gamozóide	gamozoide
ganóide	ganoide
gás-dos-pântanos	gás dos pântanos
gaspóia	gaspoia
gastrepiplóico	gastrepiploico
gastroepiplóico	gastroepiploico
gastropéctico	gastropético
gastrozóide	gastrozoide
genuflectir	genufletir
genuflector	genufletor
genuflectora	genufletora
geóide	geoide
geotáctico	geotático
gesso-de-paris	gesso de Paris
glenóide	glenoide
glossóide	glossoide
glucocorticóide	glucocorticoide
gogóia	gogoia
gonozóide	gonozoide
grafióide	grafioide
granitóide	granitoide
grapsóide	grapsoide
grecóide	grecoide
gróia	groia
grosso-de-nápoles	grosso de Nápoles
grupóide	grupoide
guarda-de-corpo	guarda de corpo
guarda-jóias	guarda-joias
guarda-nocturno	guarda-noturno
halóide	haloide
haplóide	haploide
haptotáctico	haptotático
haptotactismo	haptotactismo, haptotatismo
helicóide	helicoide
heliotactismo	heliotatismo
helmintóide	helmintoide
hematóide	hematoide
hematosséptico	hematossético
hemiatáctico	hemiatático
hemisferóide	hemisferoide
hemóide	hemoide
hemoptóico	hemoptoico
hemorróida	hemorroida
hemorróide	hemorroide
hemorróides	hemorroides
hemotéctico	hemotético
hepatopéctico	hepatopético
heróico	heroico
heróide	heroide
hetero-avaliação	heteroavaliação
heteróide	heteroide
heteroinfecção	heteroinfeção
heterorréctico	heterorrético
heterosséptico	heterossético
heterotáctico	heterotático
hialóide	hialoide
hidatóide	hidatoide
hidreléctrico	hidrelétrico
hidroeléctrica	hidroelétrica
hidroelectricidade	hidroeletricidade
hidroeléctrico	hidroelétrico
hidroextractor	hidroextrator
hidrofráctico	hidrofrático
hidróide	hidroide
hidrotactismo	hidrotactismo, hidrotatismo
hilozóico	hilozoico
himenóide	himenoide
hióide	hioide
hiperactividade	hiperatividade
hiperactivo	hiperativo
hiperbolóide	hiperboloide
hipercataléctico	hipercatalético
hipercatalecto	hipercataleto
hipercorrecção	hipercorreção
hipercorrecto	hipercorreto
hiperdialéctico	hiperdialético
hipereutéctico	hipereutético
hipeutéctico	hipeutético
hipnóide	hipnoide
hipociclóide	hipocicloide
hipotáctico	hipotático
hipozóico	hipozoico
histeropéctico	histeropético
holantárctico	holantártico
holárctico	holárctico
holoturióide	holoturioide
holozóico	holozoico
homalóide	homaloide
homeocataléctico	homeocatalético
homeocatalecto	homeocataleto
homeozóico	homeozoico
homóide	homoide
humanóide	humanoide
ictérica	ictérica, itérica
icterícia	icterícia, iterícia
ictérico	ictérico, itérico
icteróide	icteroide
ictióide	ictioide
idielectricidade	idieletricidade
idieléctrico	idielétrico
idioeléctrico	idioelétrico
idiolecto	idioleto
ignipunctura	ignipuntura, ignipunctura
imperceptibilidade	impercetibilidade
imperceptível	impercetível
imperceptivelmente	impercetivelmente
imperfectibilidade	imperfetibilidade, imperfectibilidade
imperfectível	imperfetível, imperfectível
imperfectivelmente	imperfetivelmente, imperfectivelmente
imperfectividade	imperfetividade, imperfectividade
imperfectivo	imperfetivo, imperfectivo
imputrefacção	imputrefação
imunoelectroforese	imunoeletroforese
imunorreacção	imunorreação
imunorreactivo	imunorreativo
inacção	inação
inactiva	inativa
inactivação	inativação
inactivamente	inativamente
inactivar	inativar
inactividade	inatividade
inactivo	inativo
inactual	inatual
inadoptável	inadotável
inafectivo	inafetivo
incaracteristicamente	incaracteristicamente, incarateristicamente
incaracterístico	incaracterístico, incaraterístico
incaracterizado	incaracterizado, incaraterizado
incaracterizável	incaracterizável, incaraterizável
inconsumptibilidade	inconsumptibilidade, inconsuntibilidade
incorrecção	incorreção
incorrectamente	incorretamente
incorrecto	incorreto
indefectibilidade	indefetibilidade
indefectível	indefetível
indefectivelmente	indefetivelmente
indetectável	indetetável
indirecta	indireta
indirectamente	indiretamente
indirecto	indireto
inefectivo	inefetivo
inexacção	inexação
inexactamente	inexatamente
inexactidão	inexatidão
inexacto	inexato
infanto-juvenil	infantojuvenil
infecção	infeção
infecciologia	infeciologia
infecciologista	infeciologista
infeccionado	infecionado
infeccionar	infecionar
infeccioso	infecioso
infectada	infetada
infectado	infetado
infectante	infetante
infectar	infetar
infectável	infetável
infecto	infeto, infecto
infecto-contagioso	infetocontagioso, infectocontagioso
infectologia	infetologia
infectológico	infetológico
infectuosidade	infetuosidade
inflectir	infletir
inflicção	inflição
info-alfabetização	infoalfabetização
info-excluído	infoexcluído
info-exclusão	infoexclusão
infra-escapular	infraescapular
infra-escavação	infraescavação
infra-escrito	infraescrito
infra-estrutura	infraestrutura
infra-estruturação	infraestruturação
infra-estruturado	infraestruturado
infra-estrutural	infraestrutural
infra-oitava	infraoitava
infra-orbitário	infraorbitário
infra-renal	infrarrenal
infra-som	infrassom
infracção	infração
infractor	infrator
infractora	infratora
injecção	injeção
injectado	injetado
injectador	injetador
injectar	injetar
injectável	injetável
injectiva	injetiva
injectivo	injetivo
injecto	injeto
injector	injetor
inobjectável	inobjetável
inobjectividade	inobjetividade
inopéctico	inopético
insecticida	inseticida
insecticídio	inseticídio
insectífero	insectífero, insetífero
insectiforme	insectiforme, insetiforme
insectívoro	insetívoro, insectívoro
insecto	inseto
insectófilo	insectófilo, insetófilo
insectologia	insectologia, insetologia
insectológico	insectológico, insetológico
insectologista	insetologista, insectologista
inspecção	inspeção
inspecção-geral	inspeção-geral
inspeccionador	inspecionador
inspeccionamento	inspecionamento
inspeccionar	inspecionar
inspeccionável	inspecionável
inspectar	inspetar
inspectivo	inspetivo
inspector	inspetor
inspector-adjunto	inspetor-adjunto
inspector-geral	inspetor-geral
inspector-orientador	inspetor-orientador
inspectora	inspetora
inspectora-geral	inspetora-geral
inspectorado	inspetorado
inspectoria	inspetoria
inspectório	inspetório
insurreccionado	insurrecionado
insurreccional	insurrecional
insurreccionalmente	insurrecionalmente
insurreccionar	insurrecionar
insurreccionário	insurrecionário
insurreccionável	insurrecionável
insurreccionismo	insurrecionismo
insurreccionista	insurreccionista
insurrecta	insurreta
insurrecto	insurreto
insusceptível	insuscetível
intáctil	intáctil, intátil
intactilidade	intactilidade, intatilidade
intelecção	inteleção, intelecção
interacção	interação
interaccionismo	interacionismo
interactividade	interatividade
interactivo	interativo
interactuar	interatuar
intercepção	interceção
interceptação	intercetação
interceptado	intercetado
interceptador	intercetador
interceptadora	intercetadora
interceptante	intercetante
interceptar	intercetar
interceptável	intercetável
interceptivo	intercetivo
intercepto	intercepto, interceto
interceptor	intercetor
interceptora	intercetora
interceptório	intercetório
interjeccional	interjecional
interjeccionar	interjecionar
interjectivamente	interjetivamente
interjectivo	interjetivo
interruptor	interruptor, interrutor
interruptora	interruptora, interrutora
intersecção	interseção, intersecção
interseccional	intersecional, interseccional
interseccionismo	intersecionismo, interseccionismo
intersectar	intersetar, intersectar
intersubjectividade	intersubjetividade
intersubjectivo	intersubjetivo
intra-específico	intraespecífico
intra-ocular	intraocular
intra-orgânico	intraorgânico
intra-ósseo	intraósseo
intra-raquidiano	intrarraquidiano
intra-secular	intrassecular
intra-sinovial	intrassinovial
intra-uterino	intrauterino
intróito	introito
introjecção	introjeção
introspecção	introspeção
introspeccionista	introspecionista
introspectivamente	introspetivamente
introspectivo	introspetivo
intuscepção	intusceção
intuspecção	intuspeção
intuspectivamente	intuspetivamente
intuspectivo	intuspetivo
intussuscepção	intussusceção
inumectação	inumetação
invectiva	invetiva
invectivador	invetivador
invectivante	invetivante
invectivar	invetivar
invectivista	invetivista
invectivo	invetivo
Inverno	inverno
ipsilóide	ipsiloide
iridorréctico	iridorrético
irreflectidamente	irrefletidamente
irreflectido	irrefletido
irretractável	irretratável
irretractavelmente	irretratavelmente
irretroactividade	irretroatividade
irretroactivo	irretroativo
iseléctrico	iselétrico
isocolóide	isocoloide
isoeléctrico	isoelétrico
isoelectrónico	isoeletrónico
jabutibóia	jabutiboia
jacto	jato
jactoplanador	jatoplanador
Janeiro	janeiro
jaquiranabóia	jaquiranaboia
jardim-de-infância	jardim de infância
jaspóide	jaspoide
jequitiranabóia	jequitiranaboia
jibóia	jiboia
jitiranabóia	jitiranaboia
jóia	joia
jóina	joina
juiz-de-campo	juiz de campo
juiz-de-linha	juiz de linha
Julho	julho
Junho	junho
juruparibóia	jurupariboia
láctico	láctico, lático
lambdóide	lambdoide
lambisgóia	lambisgoia
leccionação	lecionação
leccionador	lecionador
leccionando	lecionando
leccionar	lecionar
leccionário	lecionário
leccionável	lecionável
leccionista	lecionista
lectivo	letivo
leite-de-cal	leite de cal
lepidóide	lepidoide
lepóide	lepoide
limpa-pára-brisa	limpa-para-brisa
limpa-pára-brisas	limpa-para-brisas
linfóide	linfoide
língua-de-gato	língua de gato
língua-de-sogra	língua de sogra
língua-de-trapos	língua de trapos
língua-de-veado	língua de veado
línguas-de-gato	línguas de gato
linha-de-água	linha de água
lipóide	lipoide
liquefacção	liquefação
liquefactivo	liquefativo, liquefactivo
liquefactor	liquefator
liquenóide	liquenoide
lirióide	lirioide
litóide	litoide
lóio	loio
lóio-de-jardim	loio-de-jardim
lóio-do-jardim	loio-do-jardim
lombricóide	lombricoide
lua-de-mel	lua de mel
lumbricóide	lumbricoide
mabóia	maboia
maçã-de-adão	maçã de Adão
macozóide	macozoide
macro-jê	macrojê
macro-tupi	macrotupi
macropinacóide	macropinacoide
madefacção	madefação
mãe-de-aluguer	mãe de aluguer
mãe-de-santo	mãe de santo
magneteléctrico	magnetelétrico
magnetóide	magnetoide
Maio	maio
maláctico	malático
manga-de-alpaca	manga de alpaca
manga-de-eixo	manga de eixo
manufactor	manufator
manufactora	manufatora
manufactura	manufatura
manufacturação	manufaturação
manufacturado	manufaturado
manufacturador	manufaturador
manufacturar	manufaturar
manufacturável	manufaturável
manufactureiro	manufatureiro
mão-de-barca	mão de barca
mão-de-judas	mão de Judas
mão-de-obra	mão de obra
maquinofactura	maquinofatura
marca-de-judas	marca de Judas
Março	março
marco-de-colónia	marco de Colónia
maria-da-fonte	maria da fonte
maria-das-pernas-compridas	maria das pernas compridas
marido-de-bolas	marido de bolas
marmita-de-gigante	marmita de gigante
mastóide	mastoide
meadinha-de-ouro	meadinha de ouro
medusóide	medusoide
megaprojecto	megaprojeto
meia-de-leite	meia de leite
melocacto	melocato
menina-de-cinco-olhos	menina de cinco olhos
menina-do-olho	menina do olho
meningocóccico	meningocócico
meniscóide	meniscoide
merozóito	merozoito
mesa-de-cabeceira	mesa de cabeceira
mesinha-de-cabeceira	mesinha de cabeceira
mesorrecto	mesorreto
Mesozóico	Mesozoico
mestre-de-armas	mestre de armas
mestre-de-cerimónias	mestre de cerimónias
mestre-de-obras	mestre de obras
metaléptico	metalético
metalóide	metaloide
metamorfóptico	metamorfótico
metanóia	metanoia
metapéctico	metapético
metapectina	metapetina
metazóico	metazoico
meteoróide	meteoroide
metrorréctico	metrorrético
micetóide	micetoide
microbjectiva	microbjetiva
microelectrónica	microeletrónica
microondas	micro-ondas
microorganismo	micro-organismo
mielóide	mieloide
mineralóide	mineraloide
mini-autocarro	miniautocarro
mini-saia	minissaia
mini-série	minissérie
mini-submarino	minissubmarino
mini-vestido	minivestido
minóico	minoico
mióide	mioide
miopráctico	mioprático
mirtóide	mirtoide
mixóide	mixoide
moço-de-forcado	moço de forcado
móia	moia
molibdóide	molibdoide
molóide	moloide
moluscóide	moluscoide
mongolóide	mongoloide
monóico	monoico
monóide	monoide
monozóico	monozoico
monte-de-vénus	monte de Vénus
mórfico-sintáctico	mórfico-sintático
morfossintáctico	morfossintático
morte-em-pé	morte em pé
moscas-de-milão	moscas de Milão
moto-serra	motosserra
mucóide	mucoide
muirajibóia	muirajiboia
mulher-a-dias	mulher a dias
multidireccional	multidirecional
multifactorial	multifatorial
multinfecção	multinfeção
multissectorial	multissetorial, multissectorial
muscóide	muscoide
narcisóide	narcisoide
